"Date" "DateID" "Option" "S" "K" "r" "q" "tau" "t" "sigma" "C" "Day" "MeanPrice" "rv5" "rsv" "medrv" "bv" "rk_parzen" "naive"
"5796" "2011-09-27" 20110927 30 1175.38 1339.67 0.0024193 0.02089726 0.00793650793650794 0.242063492063492 0.135805 1.78700724787988e-27 61 45.5380082816835 0.350348276395118 0.152626902143491 0.141264658264753 0.214069962692391 0.350058220433469 0.166067544612739
"5799" "2011-09-28" 20110928 30 1151.06 1339.67 0.00242366 0.02100327 0.00396825396825397 0.246031746031746 0.135545166666667 3.00150045315333e-71 62 45.5380082816835 0.248258808303411 0.19267241084297 0.19766786783224 0.213080969030392 0.262673356914098 0.166893702984071
"5802" "2011-09-29" 20110929 30 1160.4 1339.67 0.00242504666666667 0.02106039 0 0.25 0.135285333333333 0 63 45.5380082816835 0.376339029838395 0.207220715732171 0.243414611430448 0.277442453387619 0.382565836575085 0.166751888332706
"5805" "2011-09-30" 20110930 31 1131.42 1131.42 0.00405892142857143 0.02114273 0.246031746031746 0.00396825396825397 0.368185 79.714179000645 1 45.5380082816835 0.356703402512898 0.303706480072204 0.188274367603506 0.275578226714475 0.239229959157438 0.167491554114962
"5808" "2011-10-03" 20111003 31 1099.23 1131.42 0.00431880118367347 0.02132429 0.242063492063492 0.00793650793650794 0.367939476190476 63.1807808652258 2 45.5380082816835 0.337198154187921 0.256105518750014 0.221741772936893 0.319312039834367 0.25635341853671 0.169549700719881
"5811" "2011-10-04" 20111004 31 1123.95 1131.42 0.0044212934829932 0.02143669 0.238095238095238 0.0119047619047619 0.367693952380952 74.5018673068122 3 45.5380082816835 0.427942109471408 0.29245740433078 0.279016919209541 0.368242554376845 0.612366458906103 0.171399042435836
"5814" "2011-10-05" 20111005 31 1144.03 1131.42 0.00426656232653061 0.02155255 0.234126984126984 0.0158730158730159 0.367448428571429 84.4025532673991 4 45.5380082816835 0.267703958091659 0.17452508798747 0.221134233713075 0.27177867449803 0.210995818282405 0.172129487197615
"5817" "2011-10-06" 20111006 31 1164.97 1131.42 0.00420538684013606 0.02175273 0.23015873015873 0.0198412698412698 0.367202904761905 95.5787062711796 5 45.5380082816835 0.214347879082698 0.130051126965387 0.183332933217025 0.215030420671771 0.203306081802063 0.173311349810854
"5820" "2011-10-07" 20111007 31 1155.46 1131.42 0.00437542265306122 0.02188664 0.226190476190476 0.0238095238095238 0.366957380952381 89.3775993383211 6 45.5380082816835 0.22713221926434 0.177080791289467 0.194831163600371 0.230683483962778 0.212742172214137 0.172651316429172
"5823" "2011-10-10" 20111010 31 1194.89 1131.42 0.00435108482653061 0.02221694 0.222222222222222 0.0277777777777778 0.366711857142857 112.605854025577 7 45.5380082816835 0.302267026550793 0.0798134118139602 0.102566669382853 0.185550870592672 0.34316496734117 0.176255726441277
